Time,F-5
387.69455,-1.297961804
389.10143,-1.425866384
390.52602,-1.293289574
391.9529,-1.091988124
393.36238,-1.100789424
394.79412,-1.313033494
396.2056,-1.214014244
397.63021,-1.060025994
399.06085,-1.207787694
400.45656,-1.332678414
401.88545,-1.149188054
403.31515,-1.253240594
404.7409,-1.195321324
406.14487,-1.235073234
407.5725,-1.374393774
408.99223,-1.435272664
410.42212,-1.354911834
411.82445,-1.035886724
413.25319,-1.471081264
414.67318,-1.347106944
416.08066,-1.007469934
417.51315,-1.244173974
418.93601,-1.230106644
420.33638,-1.304868634
421.76313,-1.346257684
423.18472,-1.388864424
424.61822,-1.454453034
426.02282,-1.439949954
427.44533,-1.258843364
428.86792,-1.234453214
430.27904,-1.395842814
431.70776,-1.157096214
433.13402,-0.929249094
434.55636,-1.287426674
435.95963,-1.433910044
437.40333,-1.329769804
438.81395,-1.271237884
440.23744,-1.319651114
441.6658,-1.326328314
443.06579,-1.387048154
444.49477,-1.311998064
445.91639,-1.417490444
447.34175,-1.401962334
448.75949,-1.142867974
450.16959,-1.361303404
451.59995,-1.312914764
453.00982,-1.304083054
454.43455,-1.155319844
455.86254,-1.378065234
457.25991,-1.515075314
458.68952,-1.355560074
460.11388,-1.471477234
461.536,-1.147239014
462.94736,-1.916592414
464.38446,-1.336157904
465.79557,-1.546162374
467.22718,-1.364084984
468.63076,-1.428471904
470.04304,-1.654921714
471.47577,-1.621874874
472.89889,-1.418351784
474.29399,-1.552048524
475.69573,-1.240843344
477.0716,-1.666623724
478.44133,-1.694865864
479.85182,-1.665303574
481.21893,-1.730738904
482.59217,-1.319546644
484.00828,-1.316369344
485.38727,-1.297933734
486.79937,-1.464905374
488.16837,-1.590750504
489.53748,-1.516225884
490.90884,-1.366631904
492.33045,-1.547230854
493.70419,-1.527938414
495.08605,-1.426817194
496.44517,-1.219312394
497.81553,-1.729116234
499.18764,-1.581808454
500.562,-1.476174404
501.96624,-1.739280964
503.33784,-1.370449614
504.71934,-1.577472164
506.14283,-1.616613754
507.55569,-1.308329404
508.91967,-1.508218324
510.29941,-1.505722754
511.70864,-1.270441144
513.13501,-1.567048904
514.49724,-1.502346434
515.87885,-1.857941924
517.28598,-1.452254364
518.71184,-1.527019564
520.12544,-1.634533514
521.55105,-1.695697704
522.96131,-1.328452724
524.3389,-1.796289174
525.76765,-1.746908854
527.18453,-1.652156204
528.59536,-1.781970574
529.97336,-1.716878844
531.39284,-1.714984514
532.80571,-1.645095654
534.23018,-1.683785674
535.64903,-1.582969104
537.00766,-1.489023034
538.38207,-1.557153714
539.80751,-1.809356344
541.23587,-1.428476794
542.63886,-1.494926004
544.06422,-1.782476144
545.43508,-1.591900604
546.85519,-1.576645274
548.22181,-1.590891724
549.64619,-1.683921644
551.06728,-1.451150074
552.49627,-1.701063124
553.89087,-1.749274144
555.27861,-1.757150994
556.7071,-1.535274744
558.12184,-1.310073484
559.53208,-1.829575344
560.90996,-1.521568024
562.33243,-1.920348174
563.73086,-1.433884394
565.12029,-1.843534244
566.5375,-1.780987874
567.962,-1.533935584
569.39211,-1.779986024
570.80649,-1.688594394
572.21895,-1.586190494
573.59394,-1.647248814
574.99655,-1.414534594
576.37016,-1.663911674
577.79429,-1.776961174
579.17215,-1.843263144
580.59413,-1.894000184
582.00049,-1.706536544
583.43123,-1.675298494
584.84059,-1.588202064
586.21158,-1.739804684
587.64294,-1.866779854
589.05893,-1.732665254
590.48354,-2.150531254
591.89914,-1.622844974
593.31801,-1.410442964
594.74312,-2.062371644
596.1631,-1.485644874
597.57073,-1.770945264
598.95433,-1.922004194
600.37057,-1.764756354
601.77556,-1.872325394
603.1543,-1.933489414
604.58081,-1.724641154
605.99889,-1.712254904
607.42941,-1.765428784
608.83174,-1.981480514
610.25872,-1.830509114
611.66909,-1.931173164
613.08459,-1.658108244
614.51934,-2.065588914
615.93117,-2.032588704
617.36541,-2.146777594
618.77539,-1.640515004
